Timestamp,TA46-0154 Building Electric Meter -2 Real Power Phase C,TA46-0154 Building Electric Meter -2 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 cumulative energy register 1,TA46-0154 Building Electric Meter -2 Reactive Power Phase C,"TA46-0154 Building Electric Meter -2 Total Real Power ",TA46-0154 Building Electric Meter -2 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Real Power Phase A,TA46-0154 Building Electric Meter -1 Cumulative Energy,TA46-0154 Building Electric Meter -1 cached Consumption,TA46-0154 Building Electric Meter -2 energy imported,TA46-0154 Building Electric Meter -1 Real Power Phase B,TA46-0154 Building Electric Meter -1 energy imported,TA46-0154 Building Electric Meter -1 Reactive Power Phase B,TA46-0154 Virtual Meters Total HVAC Power,TA46-0154 Building Electric Meter -2 cached Consumption,TA46-0154 Building Electric Meter -2 Real Power Phase A,TA46-0154 Building Electric Meter -1 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Voltage Phase C-N,TA46-0154 Building Electric Meter -2 Real Power Phase B,TA46-0154 Building Electric Meter -2 Voltage Phase C-N,TA46-0154 Building Electric Meter -1 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 Reactive Power Phase A,"TA46-0154 Building Electric Meter -1 Total Real Power ",TA46-0154 Building Electric Meter -2 cumulative elec energy,TA46-0154 Building Electric Meter -2 Reactive Power Phase A,TA46-0154 Building Electric Meter -1 Reactive Power Phase C,TA46-0154 Building Electric Meter -2 Consumption,TA46-0154 Building Electric Meter -1 Real Power Phase C,TA46-0154 Building Electric Meter -1 Consumption,TA46-0154 Building Electric Meter -2 Reactive Power Phase B
2020-06-25T17:00:00-06:00 Denver,"","","","","","","","",48kWh,"","","","","","","","","","","","","","","","","","","","",""
2021-05-22T00:00:00-06:00 Denver,"","",NaN,"","","",NaN,"","","",NaN,"",NaN,"","","",NaN,NaN,"","",NaN,NaN,NaN,"","",NaN,"",NaN,"",""
2021-05-22T23:00:00-06:00 Denver,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",28kWh,""
2021-05-23T00:00:00-06:00 Denver,"","",NaN,"","","",NaN,"","","",NaN,"",NaN,85.78606261139993kW,"","",NaN,NaN,"","",NaN,NaN,NaN,"","",NaN,"",NaN,29kWh,""
2021-05-23T00:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:15:00-06:00 Denver,"","","","","","","","","","","","","",74.01971753581364kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:30:00-06:00 Denver,"","","","","","","","","","","","","",78.12296039159402kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:45:00-06:00 Denver,"","","","","","","","","","","","","",72.90018102999998kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T00:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:00:00-06:00 Denver,"","","","","","","","","","","","","",72.95577046505711kW,"","","","","","","","","","","","","","",31kWh,""
2021-05-23T01:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:15:00-06:00 Denver,"","","","","","","","","","","","","",72.67941068311436kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:30:00-06:00 Denver,"","","","","","","","","","","","","",72.55008017851647kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:45:00-06:00 Denver,"","","","","","","","","","","","","",72.65294422582711kW,"","","","","","","","","","","","","","","",""
2021-05-23T01:50:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
